Intrinsics Name,Args ,Comments
,short,coordinates x
,short,coordinates y
,short,coordinates z
,short,lod
,anyptr,resource
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_sub_pair,,
,int,
,int,
,int,
,int,
,int,
,int,
GenISA_simdSize,,
,int,result
GenISA_PHASE_OUTPUT,,
,void,
,float,source x
,int,index
GenISA_sampleBptr,,
,anyvector,result
,anyfloat,bias
,1,coordinates u
,1,coordinates v
,1,coordinates r
,1,coordinates ai
,1,minlod
,anyptr,resource
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_getMessagePhaseXV,,
,anyint,result
,anyvector,message phases reference 
,int,id of message phase
,int,id of DW of the message phase
GenISA_EndPrimitive,,
,void,
,int,emitCount
GenISA_floatatomicstructured,,
,float,
,anyptr,Dst Buffer
,int,array index
,int,byte offset in structure
,float,src0
,int,"Instruction type (add, or, xor etc)"
GenISA_ldraw_indexed,,
,float,result0
,anyptr,src buffer
,int,byte offset in buffer 
GenISA_rsq,,
,anyfloat,result
,0,source
GenISA_sampleinfoptr,,
,int4,result
,anyptr,source buffer
GenISA_ldmsptr,,
,anyvector,result
,int,sampleindex
,int,mcsl
,int,mcsh
,int,coordinates x
,int,coordinates y
,int,coordinates z
,int,lod
,anyptr,resource
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_getMessagePhase,,
,int,result
,int,message phase
,int,id of message phase
GenISA_GsStreamHeader,,
,void,
,int,DWORD 1
,int,DWORD 2
,int,DWORD 3
,int,DWORD 4
,int,DWORD 5
,int,DWORD 6
,int,DWORD 7
,int,DWORD 8
,int,DWORD 9
,int,DWORD 10
,int,DWORD 11
,int,DWORD 12
,int,DWORD 13
,int,DWORD 14
,int,DWORD 15
,int,DWORD 16
,int,DWORD 17
,int,DWORD 18
,int,DWORD 19
,int,DWORD 20
,int,DWORD 21
,int,DWORD 22
,int,DWORD 23
,int,DWORD 24
,int,DWORD 25
,int,DWORD 26
,int,DWORD 27
,int,DWORD 28
,int,DWORD 29
,int,DWORD 30
,int,DWORD 31
,int,DWORD 32
,int,DWORD 33
,int,DWORD 34
,int,DWORD 35
,int,DWORD 36
,int,DWORD 37
,int,DWORD 38
,int,DWORD 39
,int,DWORD 40
,int,DWORD 41
,int,DWORD 42
,int,DWORD 43
,int,DWORD 44
,int,DWORD 45
,int,DWORD 46
,int,DWORD 47
,int,DWORD 48
,int,DWORD 49
,int,DWORD 50
,int,DWORD 51
,int,DWORD 52
,int,DWORD 53
,int,DWORD 54
,int,DWORD 55
,int,DWORD 56
,int,DWORD 57
,int,DWORD 58
,int,DWORD 59
,int,DWORD 60
,int,DWORD 61
,int,DWORD 62
,int,DWORD 63
,int,DWORD 64
,int,Emit count
GenISA_slice_id,,"returns the slice id that is defined in the state register ""PREDEFINED_SR0"""
,int,result
GenISA_vaDilate,,
,void,result
,ptr_local,output buffer
,float2,coordinates
,int,src image bti
,int,sampler (accelerator) id
GenISA_globalSync,,
,void,
GenISA_gather4POptr,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v
,int,coordinates offu
,int,coordinates offv
,1,coordinates r
,anyptr,src buffer
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
,int,src channel select
GenISA_ldstructured,,
,float4,result0
,anyptr,src buffer
,int,array index
,int,byte offset in structure
GenISA_DCL_input,,
,int,scalar input reg
,int,type (texture (t#) or vFace
,int,index
GenISA_RenderTargetReadSampleFreq,,
,float4,result
,int,render targe slot
,int,sample index
GenISA_createMessagePhases,,
,int,result
,int,num message phases to allocate and initialize with 0
GenISA_dp4a_su,,Accumulate byte-wise dot-product
,int,result = dot(a * b) + c
,int,c
,int,a of char4
,int,b of uchar4
GenISA_ftof_rtp,,
,anyfloat,result
,anyfloat,input
GenISA_dp4a_ss,,Accumulate byte-wise dot-product
,int,result = dot(a * b) + c
,int,c
,int,a of char4
,int,b of char4
GenISA_firstbitShi,,
,int,result
,int,src0
GenISA_eu_id,,"returns the eu id that is defined in the state register ""PREDEFINED_SR0"""
,int,result
GenISA_DCL_GSsystemValue,,
,float,input reg (generated by this intrin)
,int,vertex idx
,int,usage
GenISA_URBWrite,,
,void,
,int,urb offset
,int,channel mask
,float,X0
,float,Y0
,float,Z0
,float,W0
,float,X1
,float,Y1
,float,Z1
,float,W1
GenISA_vmeSendFBR2,,
,int4,result
,int4,header input
,int,src image bti
,int,fwd ref image bti
,int,bwd ref image bti
GenISA_WorkGroupAny,,This intrinsic implies a barrier
,int,
,int,
GenISA_eu_thread_id,,"returns the eu thread id that is defined in the state register ""PREDEFINED_SR0"""
,int,result
GenISA_bfrev,,
,int,result
,int,src0
GenISA_simdMediaBlockWrite,,
,void,
,int,
,int,
,int,
,int,
,anyvector,
GenISA_sampleDptr,,
,anyvector,result
,anyfloat,coordinates u
,1,gradient du from dx
,1,gradient du from dy
,1,coordinates v 
,1,gradient dv from dx 
,1,gradient dv from dy
,1,coordinates r
,1,gradient dr from dx
,1,gradient dr from dy
,1,coordinates ai
,1,minlod
,anyptr,resource 
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_vaErode,,
,void,result
,ptr_local,output buffer
,float2,coordinates
,int,src image bti
,int,sampler (accelerator) id
GenISA_WaveAll,,"Description: Accumulate all the lanes
Signature: anytype WaveAll(i32 instType, anytype)
TODO: anyint should be replaced with anytype"
,anyint,
,0,
,char,"instruction type (Sum, Prod, Min, Max, Or, Xor, And)"
GenISA_ubfe,,
,int,result
,int,src0
,int,src1
,int,src2
GenISA_uavSerializeAll,,
,void,
GenISA_sampleL,,
,anyvector,result
,anyfloat,lod
,1,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_sampleB,,
,anyvector,result
,anyfloat,bias
,1,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,1,minlod
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_sampleC,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,1,minlod
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_broadcastMessagePhaseV,,
,anyint,result
,anyvector,message phases reference 
,int,id of message phase
,int,id of DW of the message phase
,int,width
GenISA_sampleD,,
,anyvector,result
,anyfloat,coordinates u
,1,gradient du from dx
,1,gradient du from dy
,1,coordinates v
,1,gradient dv from dx
,1,gradient dv from dy
,1,coordinates r
,1,gradient dr from dx
,1,gradient dr from dy
,1,coordinates ai
,1,minlod
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_IEEE_Sqrt,,
,float,output
,float,input
GenISA_f32tof16_rtz,,
,float,result
,float,input
GenISA_intatomicraw,,
,anyint,
,anyptr,Dst Buffer
,int,dst address
,0,src0
,int,"Instruction type (add, or, xor etc)"
GenISA_gather4ptr,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,anyptr,src buffer
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
,int,src channel offset
GenISA_ftof_rtz,,
,anyfloat,result
,anyfloat,input
GenISA_ld,,
,anyvector,result
,int,coordinates x
,int,coordinates y
,int,lod
,int,coordinates z
,int,texture index
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_firstbitLo,,
,int,result
,int,src0
GenISA_ftof_rtn,,
,anyfloat,result
,anyfloat,input
GenISA_URBRead,,
,float8,result
,int,vertex index
,int,URB offset
GenISA_resinfoptr,,
,int4,result
,anyptr,source buffer
,int,miplevel
GenISA_DCL_GSinputVec,,
,float4,input reg (generated by this intrin)
,int,Vertex Idx
,int,Attribute Idx
GenISA_sampleBC,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates bias
,1,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_SampleOffsetY,,
,float,
,int,sample index
GenISA_SampleOffsetX,,
,float,
,int,sample index
GenISA_vaMinMax,,
,void,result
,ptr_local,output buffer
,float2,coordinates
,int,src image bti
,int,sampler (accelerator) id
GenISA_sampleCptr,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates u
,1,coordinates v
,1,coordinates r
,1,coordinates ai
,1,minlod
,anyptr,resource
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_DCL_HSOutputCntrlPtInputVec,,
,float4,input reg (generated by this intrin)
,int,Vertex Idx
,int,Attribute Idx
GenISA_movreg,,return the contents of a specific physical grf register that the user specifies
,int,result
,int,grf number
GenISA_Interpolate,,
,float,
,int,input index
,float2,bary
GenISA_threadgroupbarrier,,
,void,
GenISA_DCL_DSInputTessFactor,,
,float,input reg (generated by this intrin)
,int,system interpreted tessellation factor
GenISA_gather4POC,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates u
,1,coordinates v 
,int,coordinates offu
,int,coordinates offv
,1,coordinates r
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
,int,src channel select
GenISA_simdSetMessagePhaseV,,
,anyvector,new message phase result
,0,curr message phase
,int,starting id of message phase
,int,number of phases
,int,id of subreg per message phase
,int,number of lanes per message phase
,anyint,new val
GenISA_PHASE_INPUT,,
,float,
,int,index
GenISA_vmeSendSIC2,,
,int4,result
,int4,header input 
,int,src image bti
,int,fwd ref image bti
,int,bwd ref image bti
GenISA_RTWrite,,
,void,
,anyfloat,0: src0 Alpha
,float,1: oMask TODO: should be i32
,bool,2: pMask
,0,3: Red
,0,4: Green
,0,5: Blue
,0,6: Alpha
,float,7: depth
,float,8: stencil
,int,9: RT index
,int,10: Blend state index
,bool,11: has mask
,bool,12: has depth
,bool,13: has stencil
,bool,14: per sample
,int,15: sample index
GenISA_floatatomicrawA64,,
,anyfloat,
,anyptr,Dst Buffer
,anyptr,dst address
,0,src0
,int,"Instruction type (add, or, xor etc)"
GenISA_PullSampleIndexBarys,,
,float2,
,int,sample index
,bool,persepective
GenISA_simdMediaBlockRead,,
,anyvector,
,int,
,int,
,int,
,int,
GenISA_vaBoolCentroid,,
,void,result
,ptr_local,output buffer 
,float2,coordinates
,int2,size
,int,src image bti
,int,sampler (accelerator) id
GenISA_DCL_HSPatchConstInputVec,,
,float4,input reg (generated by this intrin)
,int,input index
GenISA_uavSerializeOnResID,,
,void,
,int,
GenISA_vaConvolve,,
,void,result
,ptr_local,output buffer
,float2,coordinates 
,int,src image bti
,int,sampler (accelerator) id
GenISA_intatomictyped,,
,anyint,
,anyptr,Dst Buffer
,int,coordinates u
,int,coordinates v
,int,coordinates r
,0,src0
,int,"Instruction type (add, or, xor etc)"
GenISA_MediaBlockWrite,,
,void,
,int,image id 
,int,x offset
,int,y offset
,int,isUAV
,int,width
,int,height
,anyint,pixels
GenISA_MediaBlockRectangleRead,,
,void,
,int,image
,int,xOffset
,int,yOffset
,int,isUAV
,int,blockWidth
,int,blockHeight
,int,destination blob
GenISA_sampleLC,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates lod
,1,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_WaveShuffleIndex,,"Description: Read from a specific lane
Signature: Anytype WaveShuffleIndex(anyType var, i32 index)
TODO: anyint should be changed to anytype when support has been backported from llvm 3.7"
,anyint,
,0,var
,int,index
GenISA_gather4,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
,int,src channel offset
GenISA_gather4POCptr,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates u
,1,coordinates v
,int,coordinates offu
,int,coordinates offv
,1,coordinates r
,anyptr,src buffer
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
,int,src channel offset
GenISA_storestructured4,,
,void,
,anyptr,dst buffer
,int,array index
,int,byte offset in structure 
,float,src0 value to be stored
,float,src1 value to be stored
,float,src2 value to be stored
,float,src3 value to be stored
GenISA_storestructured3,,
,void,
,anyptr,dst buffer
,int,array index
,int,byte offset in structure 
,float,src0 value to be stored
,float,src1 value to be stored
,float,src2 value to be stored
GenISA_storestructured2,,
,void,
,anyptr,dst buffer
,int,array index
,int,byte offset in structure 
,float,src0 value to be stored
,float,src1 value to be stored
GenISA_storestructured1,,
,void,
,anyptr,dst buffer
,int,array index
,int,byte offset in structure 
,float,src0 value to be stored
GenISA_PixelPositionX,,
,short,
GenISA_PixelPositionY,,
,short,
GenISA_simdGetMessagePhase,,
,anyint,result
,int,message phases
,int,starting id of message phase
,int,number of phases
GenISA_ptr_to_pair,,
,int,
,int,
,anyptr,
GenISA_movflag,,return the contents of the flag register that the user specifies
,int,result
,int,flag number
GenISA_cmpSADs,,
,void,result
,int,MVCurr
,int,SADCurr
,int,MVMin
,int,SADMin
GenISA_hw_thread_id,,"returns the hardware thread id that is located at ""PREDEFINED_HW_TID"" "
,int,result
GenISA_OUTPUTGS,,
,void,
,float,x
,float,y
,float,z
,float,w
,int,type
,int,idx_mask
,int,emitCount
GenISA_vaMinMaxFilter,,
,void,result
,ptr_local,output buffer
,float2,coordinates
,int,src image bti
,int,sampler (accelerator) id
GenISA_OuterScalarTessFactors,,
,void,
,int,enum for the type of Tess factor
,float,tess factor value
GenISA_createMessagePhasesNoInitV,,
,anyvector,result
,int,num message phases to allocate (no init)
GenISA_setMessagePhaseX,,
,int,new message phase result
,int,curr message phase
,int,id of message phase
,int,id of DW of the message phase
,anyint,new val
GenISA_firstbitHi,,
,int,result
,int,src0
GenISA_fcmpxchgatomicrawA64,,
,anyfloat,
,anyptr,Dst Buffer
,anyptr,dst address
,0,src0
,0,src1
GenISA_OUTPUT,,
,void,
,anyfloat,0: source x
,0,1: source y
,0,2: source z
,0,3: source w
,int,4: usage (color/texcoord/pos)
,int,5: index & mask
GenISA_pair_to_ptr,,
,anyptr,
,int,
,int,
GenISA_lod,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,int,texture index
,int,sampler
GenISA_dp4a_uu,,Accumulate byte-wise dot-product.
,int,result = dot(a * b) + c
,int,c
,int,a of uchar4
,int,b of uchar4
GenISA_itof_rtz,,
,float,result
,int,input
GenISA_OutputTessFactors,,
,void,
,float,QUAD_V_INSIDE_TESSFACTOR
,float,QUAD_U_INSIDE_TESSFACTOR
,float,"QUAD_V_EQ_1_EDGE_TESSFACTOR, TRI_INSIDE_TESSFACTOR"
,float,"QUAD_U_EQ_1_EDGE_TESSFACTOR, TRI_W_EQ_0_EDGE_TESSFACTOR"
,float,"QUAD_V_EQ_0_EDGE_TESSFACTOR, TRI_V_EQ_0_EDGE_TESSFACTOR, LINE_DENSITY_TESSFACTOR"
,float,"QUAD_U_EQ_0_EDGE_TESSFACTOR, TRI_U_EQ_0_EDGE_TESSFACTOR, LINE_DETAIL_TESSFACTOR"
GenISA_gather4C,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,int,texture index
,int,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
,int,src channel offset
GenISA_itof_rtp,,
,float,result
,int,input
GenISA_DCL_SystemValue,,
,anyfloat,input reg (generated by this intrin)
,int,usage
GenISA_itof_rtn,,
,float,result
,int,input
GenISA_RTDualBlendSource,,
,void,
,float,0: oMask TODO: should be i32
,bool,1: pMask
,anyfloat,2: Red0
,0,3: Green0
,0,4: Blue0
,0,5: Alpha0
,0,6: Red1
,0,7: Green1
,0,8: Blue1
,0,9: Alpha1
,float,10: depth
,float,11: stencil
,int,12: RT index
,bool,13: has mask
,bool,14: has depth
,bool,15: has stencil
,bool,16: per sample
,int,17: sample index
GenISA_PatchConstantOutput,,
,void,
,anyfloat,source x
,0,source y
,0,source z
,0,source w
,int,index
,int,mask
GenISA_vmeSendSIC,,
,void,result
,int,ouput buffer
,int,universal header input
,int,sic header input 
,int,src image bti
,int,ref0 image bti
,int,ref1 image bti
GenISA_umulH,,
,anyint,result
,0,source0
,0,source1
// Used to keep the valid pixel mask for render target write, wont
// produce actual code."
,void,
,bool,0: valid pixel mask
GenISA_SetDebugReg,,
,int,result (dbg0.1:ud)
,int,dbg0.0:ud
GenISA_DCL_ShaderInputVec,,
,anyvector,input reg (generated by this intrin)
,int,input index
,int,interpolation mode
GenISA_IEEE_Divide,,
,float,output
,float,input
,float,input
GenISA_sampleLCptr,,
,anyvector,result
,anyfloat,coordinates ref
,1,coordinates lod
,1,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,anyptr,resource
,anyptr,sampler
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_simdSetMessagePhase,,
,int,new message phase result
,int,curr message phase
,int,starting id of message phase
,int,number of phases
,int,id of subreg per message phase
,int,number of lanes per message phase
,anyint,new val
GenISA_InnerScalarTessFactors,,
,void,
,int,enum for the type of Tess factor
,float,tess factor value
GenISA_SetStream,,
,void,
,int,streamID
,int,emitCount
GenISA_simdBlockWriteGlobal,,
,void,
,anyptr,
,anyvector,
GenISA_bfi,,
,int,result
,int,src0
,int,src1
,int,src2
,int,src3
GenISA_vaCentroid,,
,void,result
,ptr_local,output buffer 
,float2,coordinates
,int2,size
,int,src image bti
,int,sampler (accelerator) id
GenISA_cmpxchgatomicstructured,,
,int,
,anyptr,Dst Buffer
,int,array index
,int,byte offset in structure 
,int,src0
,int,src1
GenISA_MediaBlockRead,,
,anyint,
,int,image id
,int,x offset
,int,y offset
,int,isUAV
,int,width
,int,height
GenISA_WaveBallot,,"Description: Takes a boolean as input; return a bitfield with 1 for active lane with input true, 0 for the rest. All lanes get the same value
Signature: int32 WaveBallot(bool b)"
,int,int32 result
,bool,Bool b
GenISA_ldptr,,
,anyvector,result
,int,coordinates x
,int,coordinates y
,int,lod
,int,coordinates z
,anyptr,src buffer
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_ldmcs,,
,float4,result
,int,coordinates x
,int,coordinates y
,int,coordinates z
,int,lod
,int,texture index
,int,immediate offset u
,int,immediate offset v
,int,immediate offset w
GenISA_ftoi_rtp,,
,anyint,result
,anyfloat,input
GenISA_RuntimeValue,,
,float,result
,int,index
GenISA_ldrawvector_indexed,,
,anyvector,result0
,anyptr,src buffer
,int,byte offset in buffer
GenISA_ftoi_rte,,
,anyint,result
,anyfloat,input
GenISA_ftoi_rtn,,
,anyint,result
,anyfloat,input
GenISA_fcmpxchgatomicraw,,
,anyfloat,
,anyptr,Dst Buffer
,int,dst address
,0,src0
,0,src1
GenISA_icmpxchgatomictyped,,
,anyint,
,anyptr,Dst Buffer
,int,coordinates u
,int,coordinates v 
,int,coordinates r
,0,src0
,0,src1
GenISA_vmeSendIME,,
,void,result
,int,output buffer 
,int,universal header input
,int,ime header input
,int,src image bti
,int,ref image bti
,int,ref0 coordinate
,int,ref1 coordinate
,int,cost center
GenISA_WavePrefix,,"// Description: Accumulate and keep the intermediate results in each lane
// Signature: anytype WavePrefix(i32 sum_or_product, AnyType var)
// TODO: anyint should be replaced with anytype"
,anyint,
,0,
,char,specify the type: sum / Prod / Min/ Max
,bool,a mask that specifies a subset of lanes to participate in the computation.
GenISA_setMessagePhaseV,,
,anyvector,new message phase result
,0,cur message phase
,int,id of message phase
,int,message phase value
GenISA_add_pair,,
,int,
,int,
,int,
,int,
,int,
,int,
GenISA_simdGetMessagePhaseV,,
,anyint,result
,anyvector,message phases
,int,starting id of message phase
,int,number of phases
GenISA_OWordPtr,,
,anyptr,result
,int,oword index
GenISA_storerawvector_indexed,,
,void,
,anyptr,dst buffer
,int,byte offset in buffer
,anyvector,vector value to be stored
,int,required alignment of data
GenISA_intatomicrawA64,,
,anyint,
,anyptr,Dst Buffer
,anyptr,dst address
,0,src0
,int,"Instruction type (add, or, xor etc)"
GenISA_ROUNDNE,,
,float,result
,float,source
GenISA_uaddc,,
,anyvector,result0
,anyint,source0
,1,source1
GenISA_GradientXfine,,
,float,result
,float,coordinates x
GenISA_lodptr,,
,anyvector,result
,anyfloat,coordinates u
,1,coordinates v 
,1,coordinates r
,1,coordinates ai
,anyptr,resource
,anyptr,sampler
GenISA_UpdateDiscardMask,,update live pixel dmask from discard pixel mask
,bool,
,bool,
,bool,
GenISA_OutputTessControlPoint,,
,void,
,float,source x
,float,source y
,float,source z
,float,source w
,int,index
,int,cpid
,int,mask
GenISA_fcmpxchgatomicstructured,,
,float,
,anyptr,Dst Buffer
,int,array index
,int,byte offset in structure 
,float,src0
,float,src1
GenISA_RenderTargetRead,,
,float4,result
,int,render target slot
GenISA_source_value,,returns creates a mov from source to a null register
,void,result
,int,register
GenISA_DCL_DSCntrlPtInputVec,,
,float4,input reg (generated by this intrin)
,int,vertex index
,int,element index
GenISA_icmpxchgatomicrawA64,,
,anyint,
,anyptr,Dst Buffer
,anyptr,dst address
,0,src0
,0,src1
GenISA_memoryfence,,
,void,
,bool,Commit Enable
